Category ID,Category,Event,Event description,CountryCodes,,,,,,,,,
G65,Intra-state (civil) wars,Spainish Liberals War of 1868,Civil war - for central control: Spain vs. Liberals,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Cabanada War of 1832-1835,Civil war - for central control: Brazil vs. Pernambuco Cabanos,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Third Colombian War of 1860-1862,Civil war - for central control: Colombia vs. Liberals,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Kanto Insurrection of 1864-1865,Civil war - for central control: Japan vs. Mito Rebels,Japan,,,,,,,,,
G65,Intra-state (civil) wars,Venezuela's Legalist Revolution of 1892,Civil war - for central control: Venezuela vs. Legalists,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Romanian Peasant Revolt of 1907,Civil war - for central control: Rumania vs. Peasants,Rumania,,,,,,,,,
G65,Intra-state (civil) wars,Miguelite War of 1832-1834,"Civil war - for central control: Portugal vs. United Kingdom, Constitutionalists",Portugal,United Kingdom,,,,,,,,
G65,Intra-state (civil) wars,Third Buenos Aires War of 1861-1862,Civil war - for central control: Argentina vs. Buenos Aires,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Spanish Royalists War of 1821-1823,Civil war - for central control: Spain vs. Royalists,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Constitutionalist Rebellion of 1865-1866,Civil war - for central control: Bolivia vs. Constitutionalists,Bolivia,,,,,,,,,
G65,Intra-state (civil) wars,First Afghan Anti-Reform War of 1924-1925,Civil war - for central control: Afghanistan vs. Khost Rebels,Afghanistan,,,,,,,,,
G65,Intra-state (civil) wars,Chilean Coup of 1973,Civil war - for central control: Chile vs. Military Rebels,Chile,,,,,,,,,
G65,Intra-state (civil) wars,Campos Mutiny of 1890,Civil war - for central control: Argentina vs. Campos-led Rebels,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Third Argentina War of 1866-1867,Civil war - for central control: Argentina vs. Monteneros,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,First French Insurrection of 1830,Civil war - for central control: France vs. Liberals,France,,,,,,,,,
G65,Intra-state (civil) wars,War of  Ecuadorian Generals of 1912,Civil war - for central control: Ecuador vs. Alfaristas,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Satsuma Rebellion of 1877,Civil war - for central control: Japan vs. Satsumas,Japan,,,,,,,,,
G65,Intra-state (civil) wars,Anti-Nimeiry Revolt of 1976,Civil war - for central control: Sudan vs. National Front,Sudan,,,,,,,,,
G65,Intra-state (civil) wars,Ecuadorian Conservative Revolt of 1896,Civil war - for central control: Ecuador vs. Conservatives,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Patuleia War of 1846-1847,"Civil war - for central control: Spain, Portugal vs. Septembrists",Spain,Portugal,,,,,,,,
G65,Intra-state (civil) wars,Sixth Colombian War of 1895,Civil war - for central control: Colombia vs. War Liberals,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Peruvian Liberal Revolution of 1853-1855,Civil war - for central control: Peru vs. Liberals,Peru,,,,,,,,,
G65,Intra-state (civil) wars,Brazil Naval War of 1893-1894,Civil war - for central control: Brazil vs. Naval Royalists,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,First Venezuela War of 1848-1849,Civil war - for central control: Venezuela vs. Paez-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Chad - FAP War of 1977-1978,"Civil war - for central control: France, Chad vs. Libya, FAP",France,Chad,Libya,,,,,,,
G65,Intra-state (civil) wars,Barquisimeto Rebellion of 1854,Civil war - for central control: Venezuela vs. Rodriguez-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Zacatecas Rebellion of 1835,Civil war - for central control: Mexico vs. Zacatecas Militia,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Second Peru War of 1856-1858,Civil war - for central control: Peru vs. Conservatives,Peru,,,,,,,,,
G65,Intra-state (civil) wars,Russian Civil War of 1917-1920,"Civil war - for central control: Russia vs. Finland, Japan, United Kingdom, United States of America, France, Anti-Bolsheviks",Russia,Finland,Japan,United Kingdom,United States of America,France,,,,
